# timestamp tx ty tz qx qy qz qw
1775793240.643544 0.27385133504867554 -0.1772627830505371 -0.042326271533966064 -0.014506909064948559 -0.042589277029037476 0.08503518253564835 0.995361864566803
1775793240.710271 0.2736382484436035 -0.17726993560791016 -0.042168617248535156 -0.014539736323058605 -0.04257223382592201 0.08502382040023804 0.9953630566596985
1775793240.776827 0.27363336086273193 -0.1773301362991333 -0.04211437702178955 -0.014546774327754974 -0.042576730251312256 0.08503119647502899 0.9953622221946716
1775793240.843535 0.2736433148384094 -0.17732995748519897 -0.0422171950340271 -0.01452213991433382 -0.042585115879774094 0.08504953235387802 0.9953606128692627
1775793240.910061 0.2736234664916992 -0.17730462551116943 -0.04221397638320923 -0.014512496069073677 -0.042572058737277985 0.08505517989397049 0.995360791683197
1775793241.043570 0.27346324920654297 -0.17725896835327148 -0.04202687740325928 -0.014578141272068024 -0.0425659716129303 0.08501896262168884 0.9953632354736328
1775793241.176917 0.27370864152908325 -0.17731523513793945 -0.04223054647445679 -0.014530375599861145 -0.04258841276168823 0.08504017442464828 0.9953610897064209
1775793241.243540 0.2735099792480469 -0.1772698163986206 -0.042226314544677734 -0.014505965635180473 -0.042571771889925 0.08503016829490662 0.9953630566596985
1775793241.310066 0.2734541893005371 -0.17736244201660156 -0.04206418991088867 -0.014550390653312206 -0.042556922882795334 0.08503407984972 0.9953627586364746
1775793241.376911 0.273681640625 -0.17731475830078125 -0.04220390319824219 -0.014501105062663555 -0.04255674034357071 0.08505053073167801 0.9953620433807373
1775793241.443544 0.2735598683357239 -0.1773274540901184 -0.04217559099197388 -0.014514276757836342 -0.042562492191791534 0.08503689616918564 0.9953627586364746
1775793241.510379 0.2734706401824951 -0.17738580703735352 -0.042050063610076904 -0.014552002772688866 -0.04253987967967987 0.08503220975399017 0.9953635931015015
1775793241.576941 0.27344250679016113 -0.17721712589263916 -0.042246341705322266 -0.014486134983599186 -0.042571064084768295 0.08503220975399017 0.9953632354736328
1775793241.710615 0.27352482080459595 -0.17731702327728271 -0.04210406541824341 -0.014540573582053185 -0.04256255924701691 0.0850367322564125 0.995362401008606
1775793241.776959 0.273486852645874 -0.1772458553314209 -0.04222363233566284 -0.014501996338367462 -0.04256570339202881 0.08502697199583054 0.9953636527061462
1775793241.843567 0.2734769582748413 -0.17738157510757446 -0.04210865497589111 -0.014548133127391338 -0.04256594553589821 0.08503622561693192 0.9953622221946716
1775793241.910098 0.27363425493240356 -0.17738080024719238 -0.04202926158905029 -0.014570239000022411 -0.04255565255880356 0.08503366261720657 0.9953625202178955
1775793241.976942 0.273540198802948 -0.17725014686584473 -0.04216378927230835 -0.014529673382639885 -0.04255475103855133 0.08503181487321854 0.9953632950782776
1775793242.043583 0.2735239863395691 -0.1773204803466797 -0.04212111234664917 -0.014558517374098301 -0.04256625100970268 0.08501601964235306 0.995363712310791
1775793242.176978 0.27363449335098267 -0.17721378803253174 -0.04216736555099487 -0.014529175125062466 -0.0425763837993145 0.08501428365707397 0.9953638911247253
1775793242.243581 0.2736421227455139 -0.1772099733352661 -0.04221463203430176 -0.014538035728037357 -0.04258374124765396 0.08500908315181732 0.9953638911247253
1775793242.310222 0.27360838651657104 -0.17731529474258423 -0.04221367835998535 -0.01452117320150137 -0.04257458075881004 0.08503709733486176 0.9953621625900269
